word,synonyms
cod,"[""faux"", ""collect"", ""codfish"", ""beardie"", ""clipfish"", ""greenfish"", ""haddock"", ""hapuku"", ""milwell"", ""ogac"", ""stockfish"", ""pod"", ""gull"", ""tease""]"
lanate,"[""woolly""]"
alizarine,"[""alizarin""]"
bucket,"[""banger"", ""pail"", ""scoop"", ""hurtle"", ""bucketful""]"
dent,"[""incision"", ""indent"", ""dimple"", ""ding"", ""gouge"", ""hollow"", ""lump"", ""nick""]"
archeozoic,"[""archaeozoic"", ""archean""]"
ebullience,"[""exuberance""]"
sponginess,"[""compressibility""]"
magnetocardiography,"[""mcg""]"
rith,"[""beck"", ""brooklet""]"
samisen,"[""shamisen""]"
makeweight,"[""filler""]"
cittosis,"[""pica""]"
inwone,"[""occupy"", ""reside""]"
gothiness,"[""gothness""]"
paterfamilias,"[""patriarch""]"
hemosputum,"[""hemoptysis""]"
migrator,"[""migrant""]"
flimflammery,"[""flimflam""]"
downsizing,"[""retrenchment""]"
glycerite,"[""glycerole""]"
derogative,"[""contemptuous"", ""derogatory"", ""disparaging""]"
repertory,"[""repertoire""]"
tusk,"[""detusk"", ""ivory"", ""horn""]"
daren't,"[""dursn't""]"
iambus,"[""iamb""]"
pinnula,"[""pinnule""]"
manor,"[""fief""]"
washdot,"[""wsdot""]"
survivor,"[""subsister"", ""trooper""]"
balmily,"[""daftly"", ""dottily"", ""nuttily"", ""wackily""]"
munitions,"[""munition"", ""ordnance""]"
gallichon,"[""mandora""]"
orgasm,"[""climax"", ""coming"", ""cum""]"
cadigan,"[""placeholder""]"
afeared,"[""afeard"", ""afraid""]"
zymolytic,"[""zymotic""]"
cowardness,"[""cowardice""]"
obediency,"[""obedience""]"
schmeer,"[""schmear"", ""shmear""]"
kapa,"[""tapa""]"
teutonic,"[""german"", ""germanic""]"
umayyad,"[""omayyad"", ""ommiad""]"
osteodynia,"[""ostalgia"", ""ostealgia""]"
mierkat,"[""meerkat""]"
allosexual,"[""sexual""]"
sculptor,"[""carver"", ""sculpturer"", ""sculpturist""]"
treed,"[""cornered""]"
bandmaster,"[""kapellmeister""]"
marinade,"[""marinate""]"
phantasmagorial,"[""phantasmagoric""]"
inchworm,"[""geometrid""]"
enkindled,"[""ignited"", ""kindled""]"
brisbanian,"[""brisbanite""]"
greyly,"[""grayly""]"
cringeworthily,"[""cringingly""]"
pescatarian,"[""pescetarian"", ""piscivore""]"
dihydroazete,"[""azetine""]"
perciformes,"[""percomorphi""]"
jeans,"[""jean""]"
subahship,"[""subahdary""]"
wind,"[""curve"", ""gas"", ""jazz"", ""malarkey"", ""malarky"", ""nothingness"", ""puff"", ""roll"", ""twine"", ""twist"", ""breeze"", ""fart"", ""tip"", ""hoist"", ""wreathe"", ""weave"", ""scent"", ""winding"", ""wrap""]"
balductum,"[""drivel""]"
thaumaturgy,"[""magic""]"
turbojet,"[""fanjet"", ""turbofan""]"
churchyard,"[""cemetery"", ""graveyard"", ""kirkyard""]"
grotesqueness,"[""grotesquerie"", ""grotesquery""]"
exterminatable,"[""exterminable""]"
quail,"[""flinch""]"
antimetaphysics,"[""ametaphysics""]"
anhydrosis,"[""anhidrosis""]"
equable,"[""constant"", ""imperturbable"", ""regular""]"
collegiate,"[""collegial""]"
jutlandish,"[""jutlandic""]"
jitter,"[""fidget""]"
supertitle,"[""surtitle""]"
hakim,"[""hakeem""]"
blowpipe,"[""blowgun"", ""blowtube""]"
affirmative,"[""approbative"", ""affirmatory"", ""optimistic"", ""yes""]"
nonrated,"[""unrated""]"
corselet,"[""corslet""]"
truckful,"[""lorryful"", ""lorryload"", ""truckload""]"
unnaturalised,"[""unnaturalized""]"
embonpoint,"[""chubby"", ""plumpness"", ""full"", ""plump""]"
jazzperson,"[""jazzbo"", ""jazzer"", ""jazzist"", ""jazzman"", ""jazzster"", ""jitterbug""]"
smithy,"[""forge""]"
misbegot,"[""misbegotten""]"
amdinocillin,"[""mecillinam""]"
unrated,"[""nonrated""]"
stealthy,"[""concealed"", ""sneaking"", ""undercover"", ""surreptitious""]"
frogurt,"[""froyo""]"
gunyah,"[""humpy""]"
mawkishness,"[""bathos"", ""drippiness"", ""mushiness"", ""sentimentality"", ""sloppiness"", ""soupiness""]"
slothful,"[""faineant""]"
affixture,"[""attachment"", ""fastening""]"
choledocho,"[""choledoch""]"
copasetic,"[""copesettic""]"
tumbril,"[""tumbrel""]"
repositing,"[""reposition"", ""storage"", ""warehousing""]"
tana,"[""antananarivo""]"
computor,"[""computer""]"
unaccredited,"[""unlicenced"", ""unlicensed""]"
propylbenzene,"[""lignane""]"
paralytical,"[""paralytic""]"
asseverator,"[""asserter""]"
grimly,"[""grisly""]"
usufruct,"[""liferent""]"
undecimal,"[""undenary""]"
knackered,"[""drained"", ""exhausted"", ""broken"", ""powfagged"", ""tired"", ""zonked""]"
carolina,"[""carolinas""]"
conservativist,"[""conservative""]"
orthant,"[""hyperoctant""]"
oppositeness,"[""opposition""]"
rumpled,"[""dishevelled""]"
cruel,"[""roughshod"", ""draconian"", ""mean"", ""merciless"", ""vicious""]"
longwise,"[""lengthways""]"
rind,"[""bark"", ""peel""]"
virility,"[""masculinity"", ""manfulness""]"
minibike,"[""motorbike""]"
cherry,"[""cherrywood"", ""cerise""]"
dominant,"[""controlling"", ""imposing"", ""prevalent"", ""predominant""]"
aike,"[""ake""]"
derivation,"[""ancestry"", ""deriving""]"
nematoda,"[""aschelminthes""]"
aengus,"[""angus"", ""oengus""]"
contemplatable,"[""ponderable""]"
anthroposophical,"[""anthroposophic""]"
phase,"[""form"", ""stage""]"
samvydav,"[""samizdat""]"
foretell,"[""forebode"", ""foresay"", ""forespeak"", ""announce"", ""bode"", ""predict"", ""prophesy""]"
grain,"[""caryopsis"", ""cereal"", ""corn"", ""crystal"", ""texture"", ""granulate"", ""ingrain""]"
greegree,"[""grigri""]"
progenitor,"[""parent"", ""primogenitor"", ""ancestor"", ""forefather""]"
approvingly,"[""allowingly""]"
ambulas,"[""abelam""]"
tetraluminum,"[""tetralumino""]"
helical,"[""corkscrew"", ""corkscrewlike"", ""corkscrewy"", ""spiraling"", ""turbinate""]"
budgerigar,"[""budgereegah"", ""budgie"", ""budgerygah"", ""lovebird""]"
steeler,"[""steelworker""]"
counterorder,"[""countermand""]"
kyphotic,"[""hunchbacked"", ""humpbacked"", ""crookbacked""]"
horizontalidad,"[""horizontalism""]"
litterateuse,"[""litteratrice""]"
thrum,"[""drum"", ""hum"", ""strum""]"
wiener,"[""frankfurter"", ""viennese"", ""weenie"", ""wienie"", ""frank""]"
endolabial,"[""protruded""]"
squalling,"[""squally""]"
moneyer,"[""coiner""]"
barytes,"[""barite""]"
unanthropomorphic,"[""nonanthropomorphic""]"
mendable,"[""fixable"", ""reparable""]"
misname,"[""miscall""]"
camion,"[""dray"", ""lorry""]"
hesitating,"[""hesitant""]"
dibranch,"[""dibranchiate""]"
hyperbolize,"[""overstate""]"
ts,"[""tennessine"", ""transsexual""]"
surreptitiously,"[""furtively"", ""sneakily""]"
buyi,"[""bouyei""]"
sleaze,"[""cheapness""]"
panduriform,"[""pandurate""]"
sciurine,"[""squirrellike""]"
telogenous,"[""telogenic""]"
profaneness,"[""unsanctification""]"
womanhater,"[""misogynist""]"
reacceptance,"[""readmittance""]"
thorina,"[""thoria""]"
tricker,"[""prankster"", ""trickery"", ""trickster""]"
nitrous,"[""azotic""]"
oscinine,"[""oscine""]"
ellipsograph,"[""trammel""]"
miniboss,"[""midboss""]"
nonconformist,"[""heretic"", ""nonconforming"", ""chapelgoer"", ""recusant"", ""unconformist""]"
near,"[""about"", ""adjacent"", ""close"", ""approximate"", ""dear"", ""nigh"", ""nearly"", ""virtually"", ""approach""]"
rebuilder,"[""remaker""]"
lopsided,"[""asymmetrical"", ""unsymmetrical""]"
sot,"[""alcoholic"", ""drunkard""]"
gandalfian,"[""gandalfesque""]"
homage,"[""manred"", ""court""]"
accountableness,"[""accountability""]"
laconical,"[""laconic""]"
forgotten,"[""disregarded""]"
moo,"[""low""]"
bredder,"[""bredrin"", ""bruv"", ""mate""]"
impregnability,"[""invulnerability"", ""unbeatability"", ""unbeatableness"", ""undefeatability""]"
desensitizing,"[""desensitising""]"
lynx,"[""catamount""]"
oth,"[""os""]"
tread,"[""chalaza"", ""footstep"", ""run"", ""trample"", ""path"", ""step"", ""track"", ""way"", ""pace"", ""compress"", ""go"", ""march"", ""move"", ""walk""]"
bolshevism,"[""collectivism"", ""sovietism""]"
grecian,"[""greek""]"
mocking,"[""derisive"", ""quizzical"", ""teasing""]"
formerly,"[""earlier""]"
shiznit,"[""shit"", ""shiz"", ""shizzle""]"
slovenian,"[""slovene""]"
motherliness,"[""maternalism"", ""maternity"", ""motherish""]"
potent,"[""powerful"", ""stiff"", ""strong"", ""virile""]"
gentilitious,"[""gentilitial""]"
lanthanum,"[""ausonium"", ""la""]"
ileadelphus,"[""anadidymus""]"
dweomercraft,"[""illusion"", ""trickery""]"
staggeringly,"[""enormously"", ""hugely"", ""tremendously""]"
charanguista,"[""charangoist""]"
quickie,"[""fucklet""]"
snorkel,"[""breather"", ""schnorchel"", ""schnorkel""]"
doily,"[""doyley"", ""doyly""]"
unlawfully,"[""illegally""]"
excretory,"[""excrementive""]"
calhoun,"[""clemson""]"
attosecond,"[""as""]"
rhytidectomy,"[""facelift"", ""rhytidoplasty""]"
crushee,"[""crush""]"
physicalism,"[""materialism""]"
mobilisation,"[""mobilization""]"
withe,"[""withy""]"
ogalala,"[""oglala""]"
phoniatrist,"[""phoniatrician""]"
evaporation,"[""dehydration"", ""vaporization""]"
trustfully,"[""confidingly""]"
labyrinthal,"[""labyrinthine""]"
figurine,"[""statuette""]"
tetralin,"[""benzocyclohexane""]"
parosamia,"[""dysosmia""]"
sputter,"[""splutter"", ""spatter"", ""clamber""]"
tenoritone,"[""tenor""]"
visitor,"[""caller"", ""visitant""]"
symbolising,"[""symbolizing""]"
varroa,"[""varroatosis""]"
latitude,"[""parallel""]"
megalopa,"[""megalops""]"
prozine,"[""promag""]"
mongolism,"[""mongolianism""]"
electrophoresed,"[""electrophorized""]"
transposability,"[""permutability""]"
chigoe,"[""chigger"", ""chegoe""]"
crewer,"[""crew""]"
financier,"[""moneyman""]"
dermoid,"[""dermatoid""]"
technofear,"[""cyberphobia"", ""logizomechanophobia""]"
pannier,"[""corbeil""]"
censor,"[""censurer"", ""bowdlerize"", ""ban"", ""deplatform""]"
alcañón,"[""viura""]"
antsiness,"[""unease""]"
repugnantness,"[""distastefulness""]"
refilling,"[""renewal"", ""replacement"", ""replenishment""]"
fatimide,"[""fatimid""]"
nauch,"[""nautch""]"
globularness,"[""sphericity""]"
smalls,"[""underclothes""]"
inherent,"[""implicit"", ""ingrained"", ""inbuilt""]"
virama,"[""halant"", ""killer""]"
exemplary,"[""admonitory"", ""brilliant"", ""exemplar"", ""fantastic"", ""outstanding"", ""emblematic"", ""paradigm"", ""model""]"
mouthly,"[""oral""]"
delinquent,"[""defaulting"", ""neglectful"", ""overdue"", ""derelict"", ""heedless"", ""offender""]"
autoregressive,"[""autogressive""]"
backbox,"[""lightbox""]"
stockinette,"[""stockinet""]"
brownbul,"[""bulbul""]"
dashing,"[""bully"", ""dapper"", ""gallant"", ""jaunty"", ""natty"", ""raffish"", ""rakish"", ""snappy"", ""spiffy"", ""spruce""]"
treacherously,"[""faithlessly"", ""false"", ""traitorously"", ""treasonably""]"
eulogize,"[""eulogise""]"
pyrocellulose,"[""nitrocellulose""]"
liquidate,"[""conclude"", ""neutralize""]"
reveler,"[""comast"", ""merrymaker"", ""reveller""]"
peneplane,"[""peneplain""]"
atomweight,"[""pinweight""]"
fed,"[""barney"", ""federal""]"
mopoke,"[""morepork""]"
fundament,"[""foundation"", ""buttocks"", ""basis""]"
delict,"[""tort""]"
deject,"[""depress""]"
individualisation,"[""individualization""]"
watering,"[""lacrimation""]"
clearly,"[""clear"", ""obviously"", ""distinctly"", ""understandably"", ""evidently""]"
lanthanon,"[""lanthanide""]"
apotheose,"[""apotheosize""]"
sisham,"[""sissoo""]"
gyn,"[""gyno"", ""gyn\u00e6c""]"
propyne,"[""allylene"", ""methylacetylene""]"
think,"[""believe"", ""cerebrate"", ""cogitate"", ""conceive"", ""consider"", ""daresay"", ""deliberate"", ""guess"", ""imagine"", ""judge"", ""opine"", ""recall"", ""reckon"", ""speculate"", ""suppose"", ""intend"", ""remember""]"
dana,"[""danu""]"
raddleman,"[""ruddleman""]"
withspeak,"[""withsay""]"
